concept:biotechcompany:aspect_medical_systems,concept:biotechcompany,60
concept:company:limited_brands,concept:ceo:leslie_wexner,14
concept:company:limited_brands,concept:retailstore,60
concept:company:limited_brands,concept:company,60
concept:biotechcompany:calavo_growers,concept:biotechcompany,60
concept:biotechcompany:playboy_enterprises_inc,concept:biotechcompany,60
concept:biotechcompany:b_c_s_b_bancorp_inc,concept:biotechcompany,60
concept:biotechcompany:boeing_integrated_defense_systems,concept:biotechcompany,60
concept:company:mahindra___mahindra_ltd_,concept:company,60
concept:biotechcompany:marsam_pharmaceuticals,concept:biotechcompany,60
concept:biotechcompany:sifco_industries_inc,concept:biotechcompany,60
concept:biotechcompany:medecins_sans_frontieres,concept:nonprofitorganization:doctors_without_borders,39
concept:biotechcompany:acceleron,concept:biotechcompany,60
concept:biotechcompany:midwestone_financial_group_inc,concept:biotechcompany,60
concept:company:verifone,concept:company,60
concept:biotechcompany:anntaylor_stores_corp,concept:biotechcompany,60
concept:biotechcompany:magma_design_automation_inc,concept:biotechcompany,60
concept:biotechcompany:u_s__concrete,concept:biotechcompany,60
concept:biotechcompany:abgenix,concept:biotechcompany,60
concept:biotechcompany:nupathe,concept:biotechcompany,60
concept:biotechcompany:united_retail_group_inc,concept:biotechcompany,60
concept:biotechcompany:universal_security_instruments_inc,concept:biotechcompany,60
concept:biotechcompany:eisai_inc,concept:biotechcompany,60
concept:biotechcompany:eresearch_technology,concept:biotechcompany,60
concept:biotechcompany:n3_6_teva_and_ratiopharm,concept:biotechcompany,60
concept:biotechcompany:american_church_mortgage_co,concept:biotechcompany,60
concept:biotechcompany:transduction_laboratories,concept:biotechcompany,60
concept:biotechcompany:china_finance_online_co__ltd,concept:biotechcompany,60
concept:biotechcompany:sherman_pharmaceuticals,concept:biotechcompany,60
concept:biotechcompany:coldwater_creek_inc,concept:biotechcompany,60
concept:biotechcompany:coldwater_creek_inc,concept:retailstore,60
concept:biotechcompany:investors_title_co,concept:biotechcompany,60
concept:biotechcompany:orckit_communications_ltd,concept:biotechcompany,60
concept:biotechcompany:intuit,concept:company:mint,0
concept:biotechcompany:intuit,concept:ceo:scott_cook,3
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,3
concept:biotechcompany:intuit,concept:ceo:brad_smith,3
concept:biotechcompany:intuit,concept:celebrity:bill_campbell,3
concept:biotechcompany:intuit,concept:ceo:scott_cook,5
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,5
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,14
concept:biotechcompany:intuit,concept:ceo:scott_cook,21
concept:biotechcompany:intuit,concept:ceo:scott_cook,37
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,37
concept:biotechcompany:intuit,concept:ceo:brad_smith,40
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,40
concept:biotechcompany:intuit,concept:ceo:scott_cook,40
concept:biotechcompany:intuit,concept:ceo:brad_smith,41
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,41
concept:biotechcompany:intuit,concept:ceo:scott_cook,41
concept:biotechcompany:intuit,concept:ceo:scott_cook,42
concept:biotechcompany:intuit,concept:ceo:brad_smith,42
concept:biotechcompany:intuit,concept:ceo:scott_cook,46
concept:biotechcompany:intuit,concept:ceo:brad_smith,47
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,47
concept:biotechcompany:intuit,concept:ceo:scott_cook,47
concept:biotechcompany:intuit,concept:ceo:scott_cook,49
concept:biotechcompany:intuit,concept:ceo:stephen_bennett,49
concept:biotechcompany:intuit,concept:ceo:scott_cook,52
concept:biotechcompany:intuit,concept:ceo:scott_cook,53
concept:biotechcompany:intuit,concept:product:quickbooks,57
